A-1 B-1 	 A-3 A-1 	 A: 1   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-3 A-2 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-3 A-3 	 A: 3   	 B: 1   	 A Winners: [([A],1)]                      	 B Winners: [([A],1)]
A-1 B-1 	 A-3 B-1 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A,B],1)]
A-1 B-1 	 A-3 B-2 	 A: 5   	 B: 15  	 A Winners: [([A],2)]                      	 B Winners: [([A],4),([A,B],2)]
A-1 B-1 	 A-3 B-3 	 A: 1   	 B: 31  	 A Winners: [([A,B],1)]                    	 B Winners: [([A],5),([A,B],4)]
A-1 B-1 	 B-1 A-1 	 A: 1   	 B: 1   	 A Winners: [([A,B],1)]                    	 B Winners: [([A,B],1)]
A-1 B-1 	 B-1 A-2 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A,B],1)]
A-1 B-1 	 B-1 A-3 	 A: 5   	 B: 1   	 A Winners: [([A],2)]                      	 B Winners: [([A,B],1)]
A-1 B-1 	 B-1 B-1 	 A: 1   	 B: 1   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-1 	 B-1 B-2 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-1 	 B-1 B-3 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-1 	 B-2 A-1 	 A: 1   	 B: 5   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],2)]
A-1 B-1 	 B-2 A-2 	 A: 7   	 B: 9   	 A Winners: [([A,B],2)]                    	 B Winners: [([A,B],3)]
A-1 B-1 	 B-2 A-3 	 A: 13  	 B: 17  	 A Winners: [([A],3)]                      	 B Winners: [([A],4),([A,B],3)]
A-1 B-1 	 B-2 B-1 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-1 	 B-2 B-2 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-1 	 B-2 B-3 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-1 	 B-3 A-1 	 A: 1   	 B: 9   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 B-1 	 B-3 A-2 	 A: 15  	 B: 19  	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([B],6)]
A-1 B-1 	 B-3 A-3 	 A: 23  	 B: 25  	 A Winners: [([A,B],2),([B],4)]            	 B Winners: [([A],2),([A,B],5)]
A-1 B-1 	 B-3 B-1 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-1 	 B-3 B-2 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-1 	 B-3 B-3 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-2 	 A-1 A-1 	 A: 1   	 B: 5   	 A Winners: [([A],1)]                      	 B Winners: [([A,B],2)]
A-1 B-2 	 A-1 A-2 	 A: 1   	 B: 7   	 A Winners: [([A],1)]                      	 B Winners: [([A],2)]
A-1 B-2 	 A-1 A-3 	 A: 3   	 B: 11  	 A Winners: [([A],1)]                      	 B Winners: [([A],4)]
A-1 B-2 	 A-1 B-1 	 A: 1   	 B: 3   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],1)]
A-1 B-2 	 A-1 B-2 	 A: 1   	 B: 11  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],5)]
A-1 B-2 	 A-1 B-3 	 A: 1   	 B: 15  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],7)]
A-1 B-2 	 A-2 A-1 	 A: 1   	 B: 9   	 A Winners: [([A],1)]                      	 B Winners: [([A],2)]
A-1 B-2 	 A-2 A-2 	 A: 1   	 B: 13  	 A Winners: [([A],1)]                      	 B Winners: [([A],5)]
A-1 B-2 	 A-2 A-3 	 A: 3   	 B: 17  	 A Winners: [([A],1)]                      	 B Winners: [([A],7)]
A-1 B-2 	 A-2 B-1 	 A: 7   	 B: 7   	 A Winners: [([A,B],2)]                    	 B Winners: [([A,B],2)]
A-1 B-2 	 A-2 B-2 	 A: 1   	 B: 19  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],4)]
A-1 B-2 	 A-2 B-3 	 A: 1   	 B: 35  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],13)]
A-1 B-2 	 A-3 A-1 	 A: 1   	 B: 13  	 A Winners: [([A],1)]                      	 B Winners: [([A],4)]
A-1 B-2 	 A-3 A-2 	 A: 1   	 B: 15  	 A Winners: [([A],1)]                      	 B Winners: [([A],6)]
A-1 B-2 	 A-3 A-3 	 A: 3   	 B: 19  	 A Winners: [([A],1)]                      	 B Winners: [([A],8)]
A-1 B-2 	 A-3 B-1 	 A: 9   	 B: 15  	 A Winners: [([A],2)]                      	 B Winners: [([A],4),([A,B],2)]
A-1 B-2 	 A-3 B-2 	 A: 3   	 B: 55  	 A Winners: [([A],1)]                      	 B Winners: [([A],10),([A,B],6)]
A-1 B-2 	 A-3 B-3 	 A: 1   	 B: 77  	 A Winners: [([A,B],1)]                    	 B Winners: [([A],5),([A,B],6),([B],10)]
A-1 B-2 	 B-1 A-1 	 A: 1   	 B: 5   	 A Winners: [([A,B],1)]                    	 B Winners: [([B],2)]
A-1 B-2 	 B-1 A-2 	 A: 7   	 B: 9   	 A Winners: [([A,B],2)]                    	 B Winners: [([A,B],3)]
A-1 B-2 	 B-1 A-3 	 A: 13  	 B: 17  	 A Winners: [([A],3)]                      	 B Winners: [([A],4),([A,B],3)]
A-1 B-2 	 B-1 B-1 	 A: 1   	 B: 3   	 A Winners: [([B],1)]                      	 B Winners: [([B],1)]
A-1 B-2 	 B-1 B-2 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-2 	 B-1 B-3 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-2 	 B-2 A-1 	 A: 1   	 B: 17  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],8)]
A-1 B-2 	 B-2 A-2 	 A: 1   	 B: 25  	 A Winners: [([A,B],1)]                    	 B Winners: [([B],6)]
A-1 B-2 	 B-2 A-3 	 A: 29  	 B: 81  	 A Winners: [([A],10)]                     	 B Winners: [([A],10),([A,B],12)]
A-1 B-2 	 B-2 B-1 	 A: 1   	 B: 5   	 A Winners: [([B],1)]                      	 B Winners: [([B],2)]
A-1 B-2 	 B-2 B-2 	 A: 1   	 B: 7   	 A Winners: [([B],1)]                      	 B Winners: [([B],3)]
